url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
,"Princess Mononoke",movie,"Action, Adventure, Animation",1997,tt0119698,8.3,445147,"AG, BB, BS, HN, NI, RS, TT, US"
,"Spirited Away",movie,"Adventure, Animation, Family",2001,tt0245429,8.6,876218,"AG, BB, BS, HN, NI, TT, US"
,"Gimme Shelter",movie,"Documentary, Music, Thriller",1970,tt0065780,7.8,13099,"AG, BB, BS, HN, NI, TT, US"
,Primary,movie,"Documentary, History, News",1960,tt0054205,7.1,1537,"AG, BB, BS, HN, NI, TT, US"
,"Bob Dylan: Dont Look Back",movie,"Documentary, Music",1967,tt0061589,7.9,10157,"AG, BB, BS, HN, NI, TT, US"
,"Bad Education",movie,"Crime, Drama",2004,tt0275491,7.4,64122,"AG, BB, BS, HN, NI, TT"
,"Brokeback Mountain",movie,"Drama, Romance",2005,tt0388795,7.7,392445,"BA, BG, HN, HR, HU, MD, ME, SI, SK, US"
,"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,79001,"AG, BB, BS, HN, NI, TT, US"
,"Breaking the Waves",movie,Drama,1996,tt0115751,7.8,72658,"AG, BB, BS, HN, NI, TT"
,"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,284582,"CZ, HN, RO, RS, US"
,"The 400 Blows",movie,"Crime, Drama",1959,tt0053198,8.1,129725,"AG, BB, BS, DK, FI, HN, NI, NO, SE, TT, US"
,"Star Trek: The Motion Picture",movie,"Adventure, Mystery, Sci-Fi",1979,tt0079945,6.4,98100,"AG, BB, BS, HN, NI, TT"
,"Lost in Translation",movie,"Comedy, Drama",2003,tt0335266,7.7,501485,HN
,"Star Trek II: The Wrath of Khan",movie,"Action, Adventure, Sci-Fi",1982,tt0084726,7.7,130945,"AG, BB, BS, HN, NI, TT"
,"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,2937756,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
,"Star Trek III: The Search for Spock",movie,"Action, Adventure, Sci-Fi",1984,tt0088170,6.6,87408,"AG, BB, BS, HN, NI, TT"
